esperimento,crop,matcher,preprocess,morph_open,morph_close,codici,modello,degrado,rot_deg,scala,tx,ty,prospettiva,ratio,loftr_conf,loftr_max_lato,ransac_thresh,seed,n_kp_a,n_kp_b,n_matches,n_inliers,inlier_ratio,rmse_px,rmse_m,err_max_px,success_stima,success,motivo,t_init_ms,t_match_ms,t_stima_ms
E1,tassarole,sift,sauvola,0,0,,homography,0.5,15,1.15,30,20,0.0,0.75,,,3.0,42,3160,2942,531,326,0.613936,0.9266562609608237,0.23579046557026445,3.046615910525658,True,True,,,271.8,1.1
E1,tassarole,sift,sauvola,0,0,,homography,0.75,15,1.15,30,20,0.0,0.75,,,3.0,42,3160,1784,292,170,0.582192,0.2554449846337548,0.06499874267501281,0.664758059023168,True,True,,,265.2,1.5
E1,tassarole,sift,sauvola,0,0,,homography,1.0,15,1.15,30,20,0.0,0.75,,,3.0,42,3160,5928,162,90,0.555556,0.3677361909851192,0.09357157700473653,0.7151463741764064,True,True,,,306.7,1.5
E1,tassarole,sift,sauvola,0,0,,homography,1.1,15,1.15,30,20,0.0,0.75,,,3.0,42,3160,14419,197,65,0.329949,0.4428199348436068,0.11267686088076027,0.9262484254959237,True,True,,,398.5,9.9
E1,tassarole,sift,sauvola,0,0,,homography,1.2,15,1.15,30,20,0.0,0.75,,,3.0,42,3160,18272,311,170,0.546624,587.5326681977566,149.49945002092375,1087.004834095924,True,False,,,430.7,2.2
E1,tassarole,sift,sauvola,0,0,,homography,1.3,15,1.15,30,20,0.0,0.75,,,3.0,42,3160,19518,43,19,0.44186,1.426500344199602,0.3629772920826213,3.775078081822708,True,False,,,445.0,2.6
E1,tassarole,sift,sauvola,0,0,,homography,1.4,15,1.15,30,20,0.0,0.75,,,3.0,42,3160,19251,20,6,0.3,3313.1098504828974,843.0307407849247,25843.515136260983,True,False,,,436.2,11.8
E1,tassarole,sift,sauvola,0,0,,homography,1.5,15,1.15,30,20,0.0,0.75,,,,42,3160,18195,1,0,0.0,,,,False,False,"solo 1 corrispondenze, ne servono almeno 4",,434.7,0.0
E1,tassarole,sift,sauvola,0,0,,homography,0.0,0,1.0,0.0,0.0,0.0,0.75,,,3.0,42,3160,3160,3147,3147,1.0,2.3942187431374527e-12,6.092161418475543e-13,7.0789814801632346e-12,True,True,,,282.2,0.8
E1,tassarole,sift,sauvola,0,0,,homography,0.0,5,1.0,0.0,0.0,0.0,0.75,,,3.0,42,3160,2846,993,784,0.789527,0.10565632783593927,0.026884569586838252,0.29193920042515153,True,True,,,279.7,0.9
